Link,Date,Source,Title,Description,Score,Sentiment
https://www.finam.ru/publications/item/rossiya-i-turtsiya-nachnut-obsuzhdenie-dorozhnoy-karty-po-gazovomu-khabu-do-nachala-fevralya-20240101-1519/,2024-01-01,Finam.ru,Россия и Турция начнут обсуждение дорожной карты по газовому хабу до начала февраля,Турция рассчитывает завершить работы по созданию электронной платформы для газового трейдинга в 2024 году,0.5042526,positive
https://www.finam.ru/publications/item/rossiya-prinyala-na-sebya-predsedatelstvo-v-briks-20240101-1251/,2024-01-01,Finam.ru,Россия приняла на себя председательство в БРИКС и СНГ,Девиз 2024 года - «Укрепление многосторонности для справедливого глобального развития и безопасности»,0.42943043,positive
https://www.finam.ru/publications/item/tcs-group-planiruet-provesti-delisting-raspisok-s-londonskoy-birzhi-s-31-yanvarya-20240102-2120/,2024-01-02,Finam.ru,TCS Group планирует провести делистинг расписок с Лондонской биржи с 31 января,Торги бумагами TCS Group на LSE приостановлены с 3 марта 2022 года,0.477969,positive
https://www.finam.ru/publications/item/volatilnost-v-tsenakh-na-neft-okazyvaet-davlenie-na-zarubezhnye-ploshchadki-20240102-1911/,2024-01-02,"Премудров Павел, Finam.ru",Волатильность в ценах на нефть оказывает давление на зарубежные площадки,Первая неделя торгов в 2024 году станет важным испытанием для устойчивости тренда роста на американских биржах,-0.60626835,negative
https://www.finam.ru/publications/item/passazhiropotok-rossiyskikh-aviakompaniy-v-2023-godu-prevysil-103-mln-chelovek-20240102-1528/,2024-01-02,Finam.ru,Пассажиропоток российских авиакомпаний в 2023 году превысил 103 млн человек,В 2022 году пассажиропоток российских авиакомпаний составил 95 млн человек,0.53578186,positive
https://www.finam.ru/publications/item/mirovye-birzhi-v-pervye-torgi-novogo-goda-sokhranyayut-spokoystvie-20240102-1409/,2024-01-02,"Гайнутдинова Лиана, Finam.ru",Мировые биржи в первые торги нового года сохраняют спокойствие,"Торговая активность остается невысокой, но геополитический фон - сложный",-0.033720788,neutral
https://www.finam.ru/publications/item/servis-rassrochki-na-saytakh-internet-aptek-trend-s-bolshim-budushchim-20240102-1133/,2024-01-02,Finam.ru,Рассрочка в e(com) и перспективы,Для е-соm в целом рассрочка может стать своеобразной цифровой палочкой-выручалочкой,-0.027430484,neutral
https://www.finam.ru/publications/item/kotirovki-nefti-podrastayut-v-aziya-raznonapravlennaya-dinamika-20240102-0926/,2024-01-02,Finam.ru,"Котировки нефти подрастают, в Азии разнонаправленная динамика","Нефть торгуется чуть выше отметки $78: фьючерс на Brent поднялся на 1,91%, до $72,93 за баррель",-0.12686165,negative
https://www.finam.ru/publications/item/putin-podpisal-ukaz-zapreshchayushchiy-obremenenie-i-aresty-v-otnoshenii-aktivov-na-schetakh-s-i-i-20240103-2034/,2024-01-03,Finam.ru,"Путин подписал указ, запрещающий обременение и аресты в отношении активов на счетах «С» и «И»",Соответствующие пункты дополнят указ от 5 марта 2022 года и указ от 9 сентября 2023 года,-0.20681696,negative
https://www.finam.ru/publications/item/indeks-mosbirzhi-na-podeme-blagodarya-slabosti-rublya-20240103-1907/,2024-01-03,"Аседова Наталия, Finam.ru",Индекс МосБиржи на подъеме благодаря слабости рубля,"Стоимость нефти к текущему времени стремительно подрастает на фоне известий о взрывах в Иране, а также о приостановке добычи на ливийском месторождении Аш-Шарара",-0.29552454,negative
https://www.finam.ru/publications/item/pervaya-partiya-pishchevykh-yaits-iz-turtsii-byla-vvezena-v-rossiyu-20240103-1628/,2024-01-03,Finam.ru,Первая партия пищевых яиц из Турции была ввезена в Россию,"3 января через пункт пропуска «Яраг-Казмаляр» была ввезена первая партия пищевого яйца из Турции в количестве 19,36 тонны",0.3817884,positive
https://www.finam.ru/publications/item/gazprom-obnovil-istoricheskiy-rekord-sutochnogo-eksporta-truboprovodnogo-gaza-kitayskim-potrebitelyam-20240103-1438/,2024-01-03,Finam.ru,«Газпром» обновил исторический рекорд суточного экспорта трубопроводного газа китайским потребителям,"При этом по итогам 2023 года экспорт газа в Китай по «Силе Сибири» составил 22,7 млрд куб. м., что оказалось на 700 млн куб. м выше контрактных обязательств",0.6537977,positive
