SECID	BOARDID	SHORTNAME	PREVPRICE	LOTSIZE	FACEVALUE	STATUS	BOARDNAME	DECIMALS	SECNAME	REMARKS	MARKETCODE	INSTRID	SECTORID	MINSTEP	PREVWAPRICE	FACEUNIT	PREVDATE	ISSUESIZE	ISIN	LATNAME	REGNUMBER	PREVLEGALCLOSEPRICE	CURRENCYID	SECTYPE	LISTLEVEL	SETTLEDATE
ABIO	TQBR	iАРТГЕН ао	111.34	10	0.1	A	Т+: Акции и ДР - безадрес.	2	"ПАО ""Артген"""	None	FNDT	EQIN	None	0.02	112.12	SUR	2024-04-01	92645451	RU000A0JNAB6	ARTGEN ao	1-01-08902-A	111.34	SUR	1	2	2024-04-03
ABRD	TQBR	АбрауДюрсо	279.2	10	1.0	A	Т+: Акции и ДР - безадрес.	1	Абрау-Дюрсо ПАО ао	None	FNDT	EQIN	None	0.2	268.6	SUR	2024-04-01	98000184	RU000A0JS5T7	Abrau-Durso ao	1-02-12500-A	279.2	SUR	1	3	2024-04-03
ACKO	TQBR	АСКО ао	3.58	100	1.0	A	Т+: Акции и ДР - безадрес.	2	АСКО ПАО ао	None	FNDT	EQIN	None	0.02	3.64	SUR	2024-04-01	536000000	RU000A0JXS91	ASKO ao	1-01-52065-Z	3.58	SUR	1	3	2024-04-03
AFKS	TQBR	Система ао	24.503	100	0.09	A	Т+: Акции и ДР - безадрес.	3	"АФК ""Система"" ПАО ао"	None	FNDT	EQIN	None	0.001	23.809	SUR	2024-04-01	9650000000	RU000A0DQZE3	AFK Sistema	1-05-01669-A	23.95	SUR	1	1	2024-04-03
AFLT	TQBR	Аэрофлот	48.63	10	1.0	A	Т+: Акции и ДР - безадрес.	2	Аэрофлот-росс.авиалин(ПАО)ао	None	FNDT	EQIN	None	0.01	47.42	SUR	2024-04-01	3975771215	RU0009062285	Aeroflot	1-01-00010-A	48.3	SUR	1	1	2024-04-03
AGRO	TQBR	AGRO-гдр	1470.2	1	0.0	A	Т+: Акции и ДР - безадрес.	1	ГДР ROS AGRO PLC ORD SHS	None	FNDT	EQIN	None	0.2	1453.8	USD	2024-04-01	54827500	US7496552057	GDR ROS AGRO PLC ORD SHS	None	1467.4	SUR	D	1	2024-04-03
AKRN	TQBR	Акрон	17400.0	1	5.0	A	Т+: Акции и ДР - безадрес.	0	Акрон ПАО ао	None	FNDT	EQIN	None	2.0	17208.0	SUR	2024-04-01	36757156	RU0009028674	Acron	1-03-00207-A	17400.0	SUR	1	2	2024-04-03
ALRS	TQBR	АЛРОСА ао	78.61	10	0.5	A	Т+: Акции и ДР - безадрес.	2	АЛРОСА ПАО ао	None	FNDT	EQIN	None	0.01	78.79	SUR	2024-04-01	7364965630	RU0007252813	ALROSA ao	1-03-40046-N	79.0	SUR	1	1	2024-04-03
AMEZ	TQBR	АшинскийМЗ	69.68	100	1.0	A	Т+: Акции и ДР - безадрес.	2	Ашинский метзавод ПАО ао	None	FNDT	EQIN	None	0.02	69.3	SUR	2024-04-01	498454822	RU000A0B88G6	Ashinckiy metzavod PAO	1-03-45219-D	69.68	SUR	1	3	2024-04-03
APTK	TQBR	Аптеки36и6	14.57	10	0.64	A	Т+: Акции и ДР - безадрес.	3	"ПАО ""Аптечная сеть 36,6"" ао"	None	FNDT	EQIN	None	0.002	14.562	SUR	2024-04-01	7630433826	RU0008081765	Apteki 36,6	1-01-07335-A	14.57	SUR	1	2	2024-04-03
AQUA	TQBR	ИНАРКТИКА	964.5	1	100.0	A	Т+: Акции и ДР - безадрес.	1	ПАО ИНАРКТИКА	None	FNDT	EQIN	None	0.5	947.0	SUR	2024-04-01	87876649	RU000A0JQTS3	INARCTIKA	1-01-04461-D	949.5	SUR	1	1	2024-04-03
ARSA	TQBR	Арсагера	13.32	100	1.0	A	Т+: Акции и ДР - безадрес.	2	УК Арсагера ПАО-ао	None	FNDT	EQIN	None	0.01	13.3	SUR	2024-04-01	123817165	RU000A0JP0Q7	UK Arsagera	1-01-03163-D	13.32	SUR	1	3	2024-04-03
ASSB	TQBR	АстрЭнСб	2.855	1000	0.007	A	Т+: Акции и ДР - безадрес.	3	"""Астраханская ЭСК"" ПАО"	None	FNDT	EQIN	None	0.005	2.865	SUR	2024-04-01	773900078	RU000A0D8MM8	Astrakhan Energo Sbyt	1-01-55064-E	2.85	SUR	1	3	2024-04-03
ASTR	TQBR	Астра ао	693.95	1	0.05	A	Т+: Акции и ДР - безадрес.	2	Группа Астра ао	None	FNDT	EQIN	None	0.05	696.95	SUR	2024-04-01	210000000	RU000A106T36	Astra Group	1-01-01286-G	680.0	SUR	1	2	2024-04-03
AVAN	TQBR	Авангрд-ао	944.0	1	10.0	A	Т+: Акции и ДР - безадрес.	0	"АКБ ""АВАНГАРД"" ПАО ао"	None	FNDT	EQIN	None	2.0	936.0	SUR	2024-04-01	80700000	RU000A0DM7B3	"AKB ""AVANGARD"""	10102879B	944.0	SUR	1	3	2024-04-03
BANE	TQBR	Башнефт ао	3189.5	1	1.0	A	Т+: Акции и ДР - безадрес.	1	Башнефть АНК ао	None	FNDT	EQIN	None	0.5	3182.5	SUR	2024-04-01	147846489	RU0007976957	Bashneft ANK ao	1-01-00013-A	3195.0	SUR	1	3	2024-04-03
BANEP	TQBR	Башнефт ап	2243.5	1	1.0	A	Т+: Акции и ДР - безадрес.	1	Башнефть АНК ап	None	FNDT	EQIN	None	0.5	2248.0	SUR	2024-04-01	29788012	RU0007976965	Bashneft ANK ap	2-01-00013-A	2256.0	SUR	2	3	2024-04-03
BELU	TQBR	НоваБев ао	5901.0	1	100.0	A	Т+: Акции и ДР - безадрес.	0	НоваБев Групп ПАО ао	None	FNDT	EQIN	None	1.0	5898.0	SUR	2024-04-01	15800000	RU000A0HL5M1	NovaBev Group ao	1-01-55052-E	5878.0	SUR	1	1	2024-04-03
BISVP	TQBR	БашИнСв ап	14.9	100	1.0	A	Т+: Акции и ДР - безадрес.	2	Башинформсвязь(ПАО) ап	None	FNDT	EQIN	None	0.01	14.98	SUR	2024-04-01	36165270	RU0009100176	BashInformSvyaz ap	2-01-00011-A	14.9	SUR	2	3	2024-04-03
BLNG	TQBR	Белон ао	28.12	100	0.01	A	Т+: Акции и ДР - безадрес.	3	Белон ОАО ао	None	FNDT	EQIN	None	0.005	27.805	SUR	2024-04-01	1150000000	RU000A0J2QG8	Belon ao	1-06-10167-F	28.12	SUR	1	3	2024-04-03
