Date,Aggregated_Daily_Score,Aggregated_General_Sentiment,Long_Term_Trend,Aggregated_Daily_Score_5,Aggregated_Sentiment_5,Signal_5,Aggregated_Daily_Score_15,Aggregated_Sentiment_15,Signal_15,Aggregated_Daily_Score_30,Aggregated_Sentiment_30,Signal_30,Aggregated_Daily_Score_100,Aggregated_Sentiment_100,Signal_100
2014-01-01,0.0,нейтральный,0,0.0,нейтральный,0,0.0,нейтральный,0,0.0,нейтральный,0,0.0,нейтральный,0
2014-01-02,1.0,положительный,1,0.0,нейтральный,0,0.0,нейтральный,0,0.0,нейтральный,0,0.0,нейтральный,0
2014-01-03,0.10222222222222244,нейтральный,0,0.0,нейтральный,0,0.0,нейтральный,0,0.0,нейтральный,0,0.0,нейтральный,0
2014-01-04,-0.09333333333333327,нейтральный,0,0.0,нейтральный,0,0.0,нейтральный,0,0.0,нейтральный,0,0.0,нейтральный,0
2014-01-05,-0.5022222222222223,отрицательный,-1,-0.5022222222222223,отрицательный,-1,0.0,нейтральный,0,0.0,нейтральный,0,0.0,нейтральный,0
2014-01-06,1.0,положительный,1,1.0,положительный,1,0.0,нейтральный,0,0.0,нейтральный,0,0.0,нейтральный,0
2014-01-07,-1.0,отрицательный,-1,-1.0,отрицательный,-1,0.0,нейтральный,0,0.0,нейтральный,0,0.0,нейтральный,0
2014-01-08,1.0,положительный,1,1.0,положительный,1,0.0,нейтральный,0,0.0,нейтральный,0,0.0,нейтральный,0
2014-01-09,1.0,положительный,1,1.0,положительный,1,0.0,нейтральный,0,0.0,нейтральный,0,0.0,нейтральный,0
2014-01-10,0.208894090111176,нейтральный,0,0.208894090111176,нейтральный,0,0.0,нейтральный,0,0.0,нейтральный,0,0.0,нейтральный,0
2014-01-11,-0.868929198361615,отрицательный,-1,-0.868929198361615,отрицательный,-1,0.0,нейтральный,0,0.0,нейтральный,0,0.0,нейтральный,0
2014-01-12,-0.8443534230544179,отрицательный,-1,-0.9737006887914841,отрицательный,-1,0.0,нейтральный,0,0.0,нейтральный,0,0.0,нейтральный,0
2014-01-13,0.6512580456407255,положительный,1,0.6268002504696306,положительный,1,0.0,нейтральный,0,0.0,нейтральный,0,0.0,нейтральный,0
2014-01-14,0.48390871854885886,положительный,1,0.7798306389530405,положительный,1,0.0,нейтральный,0,0.0,нейтральный,0,0.0,нейтральный,0
2014-01-15,1.0,положительный,1,1.0,положительный,1,1.0,положительный,1,0.0,нейтральный,0,0.0,нейтральный,0
2014-01-16,0.9507462686567163,положительный,1,0.9481743227326267,положительный,1,0.9507462686567163,положительный,1,0.0,нейтральный,0,0.0,нейтральный,0
2014-01-17,0.06940298507462694,нейтральный,0,-0.7662889518413595,отрицательный,-1,0.06940298507462694,нейтральный,0,0.0,нейтральный,0,0.0,нейтральный,0
2014-01-18,-0.9246268656716418,отрицательный,-1,-1.0,отрицательный,-1,-0.9246268656716418,отрицательный,-1,0.0,нейтральный,0,0.0,нейтральный,0
2014-01-19,-0.9507462686567164,отрицательный,-1,-1.0,отрицательный,-1,-0.9507462686567164,отрицательный,-1,0.0,нейтральный,0,0.0,нейтральный,0
2014-01-20,-0.21791044776119417,нейтральный,0,-0.22919937205651508,нейтральный,0,-0.21791044776119417,нейтральный,0,0.0,нейтральный,0,0.0,нейтральный,0
2014-01-21,1.0,положительный,1,1.0,положительный,1,1.0,положительный,1,0.0,нейтральный,0,0.0,нейтральный,0
2014-01-22,0.4378181818181819,положительный,1,0.4239940387481371,положительный,1,0.4239940387481371,положительный,1,0.0,нейтральный,0,0.0,нейтральный,0
2014-01-23,0.6734545454545455,положительный,1,0.665424739195231,положительный,1,0.665424739195231,положительный,1,0.0,нейтральный,0,0.0,нейтральный,0
2014-01-24,-0.20800000000000007,нейтральный,0,-0.9518213866039953,отрицательный,-1,-0.23770491803278693,нейтральный,0,0.0,нейтральный,0,0.0,нейтральный,0
2014-01-25,-0.9207272727272727,отрицательный,-1,-1.0,отрицательный,-1,-0.9679582712369598,отрицательный,-1,0.0,нейтральный,0,0.0,нейтральный,0
2014-01-26,-0.9854545454545455,отрицательный,-1,-1.0,отрицательный,-1,-1.0,отрицательный,-1,0.0,нейтральный,0,0.0,нейтральный,0
2014-01-27,-0.154909090909091,нейтральный,0,0.0013152126260411734,нейтральный,0,-0.16336996336996334,нейтральный,0,0.0,нейтральный,0,0.0,нейтральный,0
2014-01-28,0.008727272727272695,нейтральный,0,1.0,положительный,1,0.00146520146520146,нейтральный,0,0.0,нейтральный,0,0.0,нейтральный,0
2014-01-29,0.21163636363636362,нейтральный,0,1.0,положительный,1,0.2058608058608058,нейтральный,0,0.0,нейтральный,0,0.0,нейтральный,0
2014-01-30,0.7759999999999998,положительный,1,1.0,положительный,1,0.7743589743589743,положительный,1,0.7759999999999998,положительный,1,0.0,нейтральный,0
2014-01-31,0.021818181818181737,нейтральный,0,-0.6203125,отрицательный,-1,0.0146520146520146,нейтральный,0,0.021818181818181737,нейтральный,0,0.0,нейтральный,0
2014-02-01,-0.9970909090909091,отрицательный,-1,-1.0,отрицательный,-1,-1.0,отрицательный,-1,-0.9970909090909091,отрицательный,-1,0.0,нейтральный,0
2014-02-02,-0.8945454545454545,отрицательный,-1,-0.8843314191960624,отрицательный,-1,-0.8973051711580481,отрицательный,-1,-0.8945454545454545,отрицательный,-1,0.0,нейтральный,0
2014-02-03,-0.14981818181818185,нейтральный,0,-0.044298605414273884,нейтральный,0,-0.15149308084486524,нейтральный,0,-0.14981818181818185,нейтральный,0,0.0,нейтральный,0
2014-02-04,-0.32145454545454555,отрицательный,-1,0.3261955745895788,положительный,1,-0.32337946103423165,отрицательный,-1,-0.32145454545454555,отрицательный,-1,0.0,нейтральный,0
2014-02-05,0.973090909090909,положительный,1,1.0,положительный,1,1.0,положительный,1,0.973090909090909,положительный,1,0.0,нейтральный,0
2014-02-06,0.8320000000000001,положительный,1,0.8489096573208725,положительный,1,0.8567737172388337,положительный,1,0.8317552804078661,положительный,1,0.0,нейтральный,0
2014-02-07,0.6596363636363636,положительный,1,0.5157303370786519,положительный,1,0.6818014027316355,положительный,1,0.6591405680990532,положительный,1,0.0,нейтральный,0
2014-02-08,-0.8407272727272728,отрицательный,-1,-1.0,отрицательный,-1,-0.8412698412698413,отрицательный,-1,-0.8434085943190095,отрицательный,-1,0.0,нейтральный,0
2014-02-09,-0.9250909090909091,отрицательный,-1,-1.0,отрицательный,-1,-0.9269102990033222,отрицательный,-1,-0.9278951201747997,отрицательный,-1,0.0,нейтральный,0
2014-02-10,1.0,положительный,1,1.0,положительный,1,1.0,положительный,1,1.0,положительный,1,0.0,нейтральный,0
2014-02-11,0.5839952927331566,положительный,1,0.570995145631068,положительный,1,0.5835051546391754,положительный,1,0.5835051546391754,положительный,1,0.0,нейтральный,0
2014-02-12,0.0026478375992937675,нейтральный,0,-0.02851941747572806,нейтральный,0,0.0014727540500738545,нейтральный,0,0.0014727540500738545,нейтральный,0,0.0,нейтральный,0
2014-02-13,-0.11091497499264502,нейтральный,0,-0.1456310679611651,нейтральный,0,-0.11222385861561102,нейтральный,0,-0.11222385861561102,нейтральный,0,0.0,нейтральный,0
2014-02-14,0.14210061782877315,нейтральный,0,-0.5444915254237287,отрицательный,-1,0.14108983799705466,нейтральный,0,0.14108983799705466,нейтральный,0,0.0,нейтральный,0
2014-02-15,-0.969991173874669,отрицательный,-1,-1.0,отрицательный,-1,-0.9723122238586156,отрицательный,-1,-0.9723122238586156,отрицательный,-1,0.0,нейтральный,0
2014-02-16,-0.969991173874669,отрицательный,-1,-1.0,отрицательный,-1,-1.0,отрицательный,-1,-0.9723122238586156,отрицательный,-1,0.0,нейтральный,0
2014-02-17,0.06796116504854344,нейтральный,0,0.8666666666666665,положительный,1,0.05376344086021523,нейтральный,0,0.06686303387334336,нейтральный,0,0.0,нейтральный,0
2014-02-18,-0.18681965283907032,нейтральный,0,0.4084656084656084,положительный,1,-0.20489844683393055,нейтральный,0,-0.18821796759941078,нейтральный,0,0.0,нейтральный,0
2014-02-19,-0.055016181229773586,нейтральный,0,0.7630385487528344,положительный,1,-0.07108721624850656,нейтральный,0,-0.05625920471281287,нейтральный,0,0.0,нейтральный,0
2014-02-20,-0.20329508679023256,нейтральный,0,0.4773242630385486,положительный,1,-0.22162485065710869,нейтральный,0,-0.20471281296023558,нейтральный,0,0.0,нейтральный,0
2014-02-21,-0.13327449249779355,нейтральный,0,-0.48373101952277675,отрицательный,-1,-0.15053763440860213,нейтральный,0,-0.13460972017673045,нейтральный,0,0.0,нейтральный,0
2014-02-22,-0.9176228302441894,отрицательный,-1,-1.0,отрицательный,-1,-0.9468339307048984,отрицательный,-1,-0.9198821796759941,отрицательный,-1,0.0,нейтральный,0
2014-02-23,-1.0,отрицательный,-1,-1.0,отрицательный,-1,-1.0,отрицательный,-1,-1.0,отрицательный,-1,0.0,нейтральный,0
2014-02-24,0.6744186046511629,положительный,1,1.0,положительный,1,0.6744186046511629,положительный,1,0.6744186046511629,положительный,1,0.0,нейтральный,0
2014-02-25,0.32759115704852126,положительный,1,0.5857338820301781,положительный,1,0.5857338820301781,положительный,1,0.32759115704852126,положительный,1,0.0,нейтральный,0
2014-02-26,-0.03244329600918738,нейтральный,0,0.15569272976680404,нейтральный,0,0.15569272976680404,нейтральный,0,-0.03244329600918738,нейтральный,0,0.0,нейтральный,0
2014-02-27,-0.16681022107378707,нейтральный,0,-0.004801097393690168,нейтральный,0,-0.004801097393690168,нейтральный,0,-0.16681022107378707,нейтральный,0,0.0,нейтральный,0
2014-02-28,0.29141544645420603,нейтральный,0,0.08941979522184296,нейтральный,0,0.5425240054869684,положительный,1,0.29141544645420603,нейтральный,0,0.0,нейтральный,0
2014-03-01,-0.9391329313809934,отрицательный,-1,-1.0,отрицательный,-1,-0.9272976680384087,отрицательный,-1,-0.9391329313809934,отрицательный,-1,0.0,нейтральный,0
2014-03-02,-0.9310938845822566,отрицательный,-1,-0.9869342043863742,отрицательный,-1,-0.9176954732510287,отрицательный,-1,-0.9310938845822566,отрицательный,-1,0.0,нейтральный,0
