,LKOH,LKOH,LKOH,LKOH,LKOH,SBER,SBER,SBER,SBER,SBER,MOEX,MOEX,MOEX,MOEX,MOEX,GMKN,GMKN,GMKN,GMKN,GMKN,MTSS,MTSS,MTSS,MTSS,MTSS,AFLT,AFLT,AFLT,AFLT,AFLT
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-05,2201.0,2317.0,2200.9,2295.0,567928,54.02,56.77,53.58,56.37,63231040,59.5,61.1,59.5,60.4,2015430,81.11,85.9,80.5,85.9,132143,168.6,174.9,168.15,174.7,1597020,31.25,33.43,31.07,33.21,982200
2015-01-06,2290.1,2376.0,2281.5,2345.0,811259,56.0,58.45,55.83,58.28,70269700,60.3,61.99,60.04,61.9,2284780,85.11,92.7,85.11,91.01,267759,172.75,182.65,172.75,179.9,2186120,32.96,33.34,32.89,33.07,768000
2015-01-08,2371.0,2595.1,2361.0,2572.0,1100028,59.0,67.77,58.61,65.7,187598890,61.27,64.7,61.27,61.9,4946480,92.0,95.65,91.51,95.5,233721,182.05,190.2,182.05,190.05,3988740,33.44,35.18,33.2,35.17,3377000
2015-01-09,2565.0,2579.0,2452.5,2461.0,1204061,65.7,66.88,62.25,63.1,107559890,61.92,62.05,60.02,60.14,1818220,96.0,97.98,95.05,97.4,166479,190.25,196.0,182.0,195.0,3634280,35.24,35.77,33.54,34.0,4286300
2015-01-12,2460.1,2519.0,2441.4,2477.0,909352,62.2,63.84,61.66,62.9,99435900,60.73,60.99,59.05,59.59,2919690,97.78,99.27,96.51,98.39,124626,192.15,194.55,187.5,193.0,2718550,33.55,34.66,33.1,34.45,2852900
2015-01-13,2515.0,2553.0,2461.9,2522.0,1316805,62.31,62.98,59.25,60.31,190655450,59.43,60.14,58.51,58.51,4360400,98.5,101.77,97.55,100.25,188403,193.0,204.7,190.7,204.5,3736400,34.4,35.19,33.84,35.0,2941300
2015-01-14,2520.0,2588.0,2502.2,2588.0,764796,59.6,61.2,59.6,60.05,134066670,58.55,61.8,58.55,61.22,5551020,100.11,101.25,94.82,96.0,369929,201.0,211.1,200.2,210.2,3728810,34.0,36.6,33.91,36.55,5454700
2015-01-15,2599.0,2653.0,2573.0,2618.9,1286474,61.19,62.68,60.71,61.8,180005110,61.6,62.65,61.0,61.8,5305600,96.31,97.77,92.2,92.9,268153,212.25,219.75,210.35,216.5,5838530,37.0,37.85,36.57,36.65,4259500
